שם ישוב,סמל ישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2018,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
אור יהודה,2400,OR YEHUDA,5,52,512,0,122,1,36864,36805,36041,59,1950,160,,1863265962,1,510,10001516,2018,Or Yehuda,
אור עקיבא,1020,OR AQIVA,3,32,324,0,,1,18236,18143,16787,93,1951,170,,1927371262,10,353,10004261,2018,Or Aqiva,
אורה,780,ORA,1,11,111,26,444,1,1337,1334,1279,3,1950,310,1,2145762903,734,151,10002521,2018,Ora,
אורון,1771,,6,62,626,48,,,,,,,,520,,2014453557,330,620,10001918,2018,,610
אורות,2012,OROT,6,61,611,33,143,1,507,507,502,,1952,310,1,1749262782,40,616,10001821,2018,Orot,420
אורטל,4013,ORTAL,2,29,292,71,,1,343,343,343,,1978,330,15,2712077700,859,219,10004579,2018,Ortal,211
אורים,403,URIM,6,62,622,38,,1,493,492,456,1,1946,330,15,1545457936,93,651,10001893,2018,Urim,620
אורנים,882,ORANIM,3,31,311,12,222,1,179,95,94,84,1951,340,,2104973529,43,301,10004207,2018,Oranim,
אורנית,3760,ORANIT,7,73,,99,145,1,8807,8797,8678,10,1985,180,,1995467087,60,718,10003262,2018,Oranit,
אושה,278,USHA,3,31,311,12,222,1,492,492,481,,1937,330,15,2110474459,19,301,10004207,2018,Usha,
אזור,565,AZOR,5,53,513,99,123,1,12854,12822,12084,32,1948,170,,1819465899,19,509,10001430,2018,Azor,
"אזור אילון מ""א 4",1852,,2,24,244,4,,,,,,,,530,,2196077510,,,,2018,,212
"אזור אילון מ""א 52",1851,,2,24,244,52,,,,,,,,530,,2266077360,,,,2018,,212
"אזור אילון של""ש",1853,,2,24,244,,,,,,,,,530,,2314076950,,,,2018,,
"אזור אשדוד מ""א 29",1922,,6,61,613,29,,,,,,,,530,,1726063970,,,,2018,,420
"אזור אשדוד מ""א 33",1921,,6,61,613,33,,,,,,,,530,,1649062930,,,,2018,,420
"אזור אשדוד של""ש",1923,,6,61,613,,,,,,,,,530,,1681064050,,,,2018,,
"אזור אשקלון מ""א 36",1924,,6,61,614,36,,,,,,,,530,,1663061620,,,,2018,,
"אזור אשקלון מ""א 37",1926,,6,61,614,37,,,,,,,,530,,1637060210,,,,2018,,620
"אזור באר שבע מ""א 41",1937,,6,62,623,41,,,,,,,,530,,1807058120,,,,2018,,620
"אזור באר שבע מ""א 51",1938,,6,62,623,51,,,,,,,,530,,2240057100,,,,2018,,
"אזור באר שבע של""ש",1939,,6,62,623,,,,,,,,,530,,1974056740,,,,2018,,
"אזור בשור מ""א 38",1933,,6,62,622,38,,,,,,,,530,,1457057060,,,,2018,,620
"אזור בשור מ""א 39",1935,,6,62,622,39,,,,,,,,530,,1505059540,,,,2018,,620
"אזור בשור מ""א 42",1934,,6,62,622,42,,,,,,,,530,,1608057600,,,,2018,,620
"אזור גלילות מ""א 19",1907,,5,51,511,19,,,,,,,,530,,,,,,2018,,
"אזור גרר מ""א 39",1931,,6,62,621,39,,,,,,,,530,,1572058820,,,,2018,,620
"אזור גרר מ""א 41",1929,,6,62,621,41,,,,,,,,530,,1725058920,,,,2018,,620
"אזור גרר מ""א 42",1930,,6,62,621,42,,,,,,,,530,,1679059410,,,,2018,,620
"אזור זכרון יעקב מ""א 15",1866,,3,32,322,15,,,,,,,,530,,2001072840,,,,2018,,
"אזור זכרון יעקב של""ש",1867,,3,32,322,,,,,,,,,530,,2040072880,,,,2018,,
"אזור חדרה מ""א 14",1873,,3,32,324,14,,,,,,,,530,,2012070620,,,,2018,,
"אזור חדרה מ""א 15",1872,,3,32,324,15,,,,,,,,530,,1932070920,,,,2018,,
"אזור חדרה מ""א 45",1871,,3,32,324,45,,,,,,,,530,,1999071630,,,,2018,,
"אזור חדרה של""ש",1874,,3,32,324,,,,,,,,,530,,2029069980,,,,2018,,
"אזור חולון של""ש",1909,,5,53,513,,,,,,,,,530,,1817066000,,,,2018,,
"אזור חיפה מ""א 12",1860,,3,31,311,12,,,,,,,,530,,2104074200,,,,2018,,
"אזור חיפה של""ש",1862,,3,31,311,,,,,,,,,530,,2088073220,,,,2018,,
"אזור חצור מ""א 1",1813,,2,21,213,1,,,,,,,,530,,2545075990,,,,2018,,211
"אזור חצור מ""א 55",1814,,2,21,213,55,,,,,,,,530,,2584076640,,,,2018,,211
"אזור חצור של""ש",1815,,2,21,213,,,,,,,,,530,,2549076740,,,,2018,,
"אזור יחיעם מ""א 2",1848,,2,24,243,2,,,,,,,,530,,2386075990,,,,2018,,211
"אזור יחיעם מ""א 4",1846,,2,24,243,4,,,,,,,,530,,2180076770,,,,2018,,212
"אזור יחיעם מ""א 52",1847,,2,24,243,52,,,,,,,,530,,2283076610,,,,2018,,212
"אזור יחיעם מ""א 56",1849,,2,24,243,56,,,,,,,,530,,2214075970,,,,2018,,210
"אזור יחיעם של""ש",1850,,2,24,243,,,,,,,,,530,,2325076540,,,,2018,,
"אזור ים המלח מ""א 51",1942,,6,62,624,51,,,,,,,,530,,2340056200,,,,2018,,
"אזור יקנעם מ""א 13",1836,,2,23,235,13,,,,,,,,530,,2121072800,,,,2018,,213
"אזור יקנעם מ""א 9",1835,,2,23,235,9,,,,,,,,530,,2115073310,,,,2018,,213
"אזור כינרות מ""א 3",1805,,2,22,221,3,,,,,,,,530,,2481074680,,,,2018,,214
"אזור כנרות מ""א 1",1816,,2,22,221,1,,,,,,,,530,,2528075660,,,,2018,,211
"אזור כנרות מ""א 6",1817,,2,22,221,6,,,,,,,,530,,2610074110,,,,2018,,214
"אזור כנרות של""ש",1818,,2,22,221,,,,,,,,,530,,,0,,,2018,,
"אזור כרמיאל מ""א 2",1843,,2,24,242,2,,,,,,,,530,,2339075980,,,,2018,,211
"אזור כרמיאל מ""א 56",1844,,2,24,242,56,,,,,,,,530,,2327075530,,,,2018,,210
"אזור כרמיאל של""ש",1845,,2,24,242,,,,,,,,,530,,2369075930,,,,2018,,
"אזור לכיש מ""א 34",1919,,6,61,612,34,,,,,,,,530,,1769061100,,,,2018,,
"אזור לכיש מ""א 35",1917,,6,61,612,35,,,,,,,,530,,1870061370,,,,2018,,420
"אזור לכיש מ""א 41",1920,,6,61,612,41,,,,,,,,530,,1888059260,,,,2018,,620
"אזור לכיש מ""א 50",1918,,6,61,612,50,,,,,,,,530,,1836060440,,,,2018,,
"אזור מודיעין מ""א 25",1887,,4,43,431,25,,,,,,,,530,,2311074610,,,,2018,,
"אזור מודיעין מ""א 30",1890,,4,43,431,30,,,,,,,,530,,2010069770,,,,2018,,
"אזור מודיעין של""ש",1895,,4,43,431,,,,,,,,,530,,1833067310,,,,2018,,
"אזור מלאכי מ""א 33",1911,,6,61,611,33,,,,,,,,530,,1755063200,,,,2018,,420
"אזור מלאכי מ""א 34",1915,,6,61,611,34,,,,,,,,530,,1766062160,,,,2018,,
"אזור מלאכי מ""א 35",1913,,6,61,611,35,,,,,,,,530,,1816062200,,,,2018,,420
"אזור מלאכי מ""א 50",1914,,6,61,611,50,,,,,,,,530,,1780061800,,,,2018,,
"אזור נהרייה מ""א 4",1855,,2,24,245,4,,,,,,,,530,,2125076910,,,,2018,,212
"אזור נהרייה של""ש",1856,,2,24,245,,,,,,,,,530,,2131076190,,,,2018,,
"אזור עכו מ""א 4",1858,,2,24,246,4,,,,,,,,530,,2128075480,,,,2018,,212
"אזור עכו מ""א 56",1857,,2,24,246,56,,,,,,,,530,,2128075670,,,,2018,,210
"אזור עכו של""ש",1859,,2,24,246,,,,,,,,,530,,2127075860,,,,2018,,
"אזור פתח תקווה מ""א 20",1888,,4,42,422,20,,,,,,,,530,,1933066570,,,,2018,,
"אזור פתח תקווה מ""א 25",1886,,4,42,422,25,,,,,,,,530,,1984065740,,,,2018,,
"אזור פתח תקווה של""ש",1889,,4,42,422,,,,,,,,,530,,1921066200,,,,2018,,
"אזור ראשל""צ מ""א 27",1903,,4,44,442,27,,,,,,,,530,,1753064760,,,,2018,,
"אזור ראשל""צ של""ש",1904,,4,44,442,,,,,,,,,530,,1755065150,,,,2018,,
"אזור רחובות מ""א 28",1896,,4,44,441,28,,,,,,,,530,,1803064000,,,,2018,,420
"אזור רחובות מ""א 29",1899,,4,44,441,29,,,,,,,,530,,1721063800,,,,2018,,420
"אזור רחובות מ""א 30",1898,,4,44,441,30,,,,,,,,530,,1843064140,,,,2018,,
"אזור רחובות מ""א 31",1901,,4,44,441,31,,,,,,,,530,,1832063450,,,,2018,,420
"אזור רחובות מ""א 32",1897,,4,44,441,32,,,,,,,,530,,1745063800,,,,2018,,
"אזור רחובות של""ש",1902,,4,44,441,,,,,,,,,530,,1721064500,,,,2018,,
"אזור רמלה מ""א 25",1892,,4,43,432,25,,,,,,,,530,,,,,,2018,,
"אזור רמלה מ""א 30",1891,,4,43,432,30,,,,,,,,530,,1891064330,,,,2018,,
"אזור רמלה מ""א 40",1893,,4,43,432,40,,,,,,,,530,,1865065340,,,,2018,,
"אזור רמלה של""ש",1894,,4,43,432,,,,,,,,,530,,1850065140,,,,2018,,
"אזור רמת גן של""ש",1908,,5,52,512,,,,,,,,,530,,1864066110,,,,2018,,
"אזור שפרעם מ""א 56",1841,,2,24,241,56,,,,,,,,530,,2266075010,,,,2018,,210
"אזור שפרעם מ""א 9",1840,,2,24,241,9,,,,,,,,530,,2179074200,,,,2018,,213
"אזור שפרעם של""ש",1842,,2,24,241,,,,,,,,,530,,2183074930,,,,2018,,210
"אזור תל אביב של""ש",1905,,5,51,511,,,,,,,,,530,,,,,,2018,,
אזור תעסוקה משגב(תרדיון),1724,,2,24,241,56,241,,,,,,,520,,2258875249,231,205,10004513,2018,,210
"אזור תעשיה אכסאל מ""א 9",1865,,2,23,234,9,,,,,,,,530,,2325072360,,,,2018,,213
אזור תעשייה אכזיב (מילואות),1726,,2,24,245,4,241,,,,,,,520,,2105277464,6,201,10004302,2018,,212
אזור תעשייה נעמן (מילואות),1727,,2,24,246,4,241,,,,,,,520,,2091475413,3,201,10004315,2018,,212
אחווה,1157,AHAWA,6,61,611,33,143,1,351,351,341,,1976,350,,1782062796,60,616,10001821,2018,Ahawa,420
אחוזם,821,AHUZZAM,6,61,612,50,,1,544,538,525,6,1950,310,2,1782260687,160,634,10001813,2018,Ahuzzam,
